text,link
玉树芝兰,https://www.jianshu.com/nb/130182
如何用Python做词云？,https://www.jianshu.com/p/e4b24a734ccc
数据科学相关的文章,https://www.jianshu.com/p/30b4fa6793f6
索引贴,https://www.jianshu.com/p/30b4fa6793f6
教程,https://www.jianshu.com/p/e4b24a734ccc
如何安装Python运行环境Anaconda？（视频教程）,https://www.jianshu.com/p/772740d57576
如何用Python做词云？,https://www.jianshu.com/p/e4b24a734ccc
如何用Python做词云？（基础篇视频教程）,https://www.jianshu.com/p/a2924231037c
如何用Python做中文分词？,https://www.jianshu.com/p/721190534061
Python编程遇问题，文科生怎么办？,https://www.jianshu.com/p/af6201d2f0c6
如何在Jupyter Notebook中使用Python虚拟环境？,https://www.jianshu.com/p/afea092dda1d
如何用Python做情感分析？,https://www.jianshu.com/p/d50a14541d01
如何用Python做舆情时间序列可视化？,https://www.jianshu.com/p/4ea083874df4
Python编程遇问题，文科生怎么办？,https://www.jianshu.com/p/af6201d2f0c6
如何用Python和机器学习训练中文文本情感分类模型？,https://www.jianshu.com/p/29aa3ad63f9d
如何用Python和R对《权力的游戏》故事情节做情绪分析？,https://www.jianshu.com/p/0c782715e58a
文章,https://www.jianshu.com/p/0c782715e58a
如何用Python提取中文关键词？,https://www.jianshu.com/p/cf383fd471bb
文科生如何高效学数据科学？,https://www.jianshu.com/p/e3f52e0860fd
如何高效入门Github？,https://www.jianshu.com/p/13d356e76659
如何高效学Python？,https://www.jianshu.com/p/3678e3dd29f5
贷还是不贷：如何用Python和机器学习帮你决策？,https://www.jianshu.com/p/67a71e366516
Python编程遇问题，文科生怎么办？,https://www.jianshu.com/p/af6201d2f0c6
这篇文章,https://www.jianshu.com/p/af6201d2f0c6
如何用Python从海量文本抽取主题？,https://www.jianshu.com/p/fdde9fc03f94
如何用Python和机器学习训练中文文本情感分类模型？,https://www.jianshu.com/p/29aa3ad63f9d
如何用Python和深度神经网络发现即将流失的客户？,https://www.jianshu.com/p/7c08e9d79514
如何用Python和深度神经网络发现即将流失的客户？,https://www.jianshu.com/p/7c08e9d79514
Tensorflow执行pip升级安装的坑,https://www.jianshu.com/p/94e6778937ea
如何用Python和深度神经网络识别图像？,https://www.jianshu.com/p/0db025ebf0a1
如何用Python和深度神经网络寻找近似图片？,https://www.jianshu.com/p/6fe5c75a8aa5
讲解答疑视频,https://www.jianshu.com/p/fe114409daaf
这段视频,https://www.jianshu.com/p/fe114409daaf
如何免费云端运行Python深度学习框架？,https://www.jianshu.com/p/eebf9a13c52a
如何用Python读取开放数据？,https://www.jianshu.com/p/424e1c65f424
如何用R和API免费获取Web数据？,https://www.jianshu.com/p/c2e030187495
如何用Python爬数据？（一）网页抓取,https://www.jianshu.com/p/ba02079ecd2f
如何用Python批量提取PDF文本内容？,https://www.jianshu.com/p/31939ee6f1c9
玉树芝兰,https://www.jianshu.com/nb/130182
“玉树芝兰”(nkwangshuyi),http://oejqwrqkh.bkt.clouddn.com/2016-10-11-22-26-16.jpg
如何高效入门数据科学？,https://www.jianshu.com/p/85f4624485b9
